"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁啊""}, {""sex"": ""1"", ""content"": ""我也在想这个问题，我不知道你是谁，但你是怎么出现在我好友栏里的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好开心哦""}, {""sex"": ""1"", ""content"": ""是啊，只要跟你聊天我就觉得很开心""}, {""sex"": ""1"", ""content"": ""开开心心没有烦恼不是挺好的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我认识？""}, {""sex"": ""1"", ""content"": ""之前不认识，但是现在认识了。""}, {""sex"": ""1"", ""content"": ""那得看你想不想认识了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心疼我了""}, {""sex"": ""1"", ""content"": ""我没办法不心疼你呀。""}, {""sex"": ""1"", ""content"": ""心疼一下这么好的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""休假了""}, {""sex"": ""1"", ""content"": ""那我能把你的休假包了吗？""}, {""sex"": ""1"", ""content"": ""我有点想和你一起休假。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不喜欢胖子""}, {""sex"": ""1"", ""content"": ""这样子我就有动力减肥了。""}, {""sex"": ""1"", ""content"": ""你难道不知道胖子都是潜力股吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猪一样的""}, {""sex"": ""1"", ""content"": ""那你就是大白菜一样的！""}, {""sex"": ""1"", ""content"": ""猪有我可爱吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人挺好的啊""}, {""sex"": ""1"", ""content"": ""但是你没有体会到有我在的好呀。""}, {""sex"": ""1"", ""content"": ""其实两个人会比一个人更好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看把你美的""}, {""sex"": ""1"", ""content"": ""你都这么美了，我当然也得美一下啦。""}, {""sex"": ""1"", ""content"": ""美美的，不好吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想处对象？""}, {""sex"": ""1"", ""content"": ""难道你就没有这个想法吗。""}, {""sex"": ""1"", ""content"": ""难道不可以处对象吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这一套一套的""}, {""sex"": ""1"", ""content"": ""套路虽然是我学的，但是喜欢你才是真的。""}, {""sex"": ""1"", ""content"": ""只要把你套住，不管它几套啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在休息一下""}, {""sex"": ""1"", ""content"": ""来，我给你捶捶肩你会休息得更舒服。""}, {""sex"": ""1"", ""content"": ""要不要把我的怀抱借给你休息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""午休一下""}, {""sex"": ""1"", ""content"": ""那小仙女好好休息，下午才不会打瞌睡。""}, {""sex"": ""1"", ""content"": ""午休不能睡太久哦，不然也会很累的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""习惯问题""}, {""sex"": ""1"", ""content"": ""每天想你也是我的一个习惯。""}, {""sex"": ""1"", ""content"": ""小仙女的习惯很好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么照顾我呢""}, {""sex"": ""1"", ""content"": ""用我的一辈子来好好照顾你。""}, {""sex"": ""1"", ""content"": ""照顾你不是说说而已，我会用行动证明给你看的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用照顾""}, {""sex"": ""1"", ""content"": ""可是我担心你照顾不好自己啊。""}, {""sex"": ""1"", ""content"": ""不用照顾就不要让我担心了，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""发现一个特点""}, {""sex"": ""1"", ""content"": ""什么特点呀？""}, {""sex"": ""1"", ""content"": ""是不是发现你特别喜欢我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己开公司""}, {""sex"": ""1"", ""content"": ""这么厉害，没想到竟然是大老板啊。""}, {""sex"": ""1"", ""content"": ""开什么公司呢，女孩子开公司肯定不容易吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有时间去找你""}, {""sex"": ""1"", ""content"": ""现在不就是有时间吗。""}, {""sex"": ""1"", ""content"": ""时间是靠自己一点点挤出来的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没时间见面""}, {""sex"": ""1"", ""content"": ""那我的时间分你点好了。""}, {""sex"": ""1"", ""content"": ""时间挤一挤还是会有的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我约她她说她没时间""}, {""sex"": ""1"", ""content"": ""你放心，我有时间的。""}, {""sex"": ""1"", ""content"": ""要不我把时间分点给你好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个耿直的笑""}, {""sex"": ""1"", ""content"": ""有笑得这么好看的吗？""}, {""sex"": ""1"", ""content"": ""笑一笑，十年少。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不能食言""}, {""sex"": ""1"", ""content"": ""你放心，君子一言驷马难追。""}, {""sex"": ""1"", ""content"": ""我这人没什么优点，但我一定说到做到。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能不能加微信""}, {""sex"": ""1"", ""content"": ""当然了，能加美女微信是我的荣幸""}, {""sex"": ""1"", ""content"": ""恩，是有必要加一下微信""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""大孩子""}, {""sex"": ""1"", ""content"": ""做一个被你喜欢的大孩子！""}, {""sex"": ""1"", ""content"": ""孩子终究有一天会长大的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""女孩子太难了""}, {""sex"": ""1"", ""content"": ""下辈子我来做女孩子，你来做男孩子。""}, {""sex"": ""1"", ""content"": ""女孩子可是世界上最可爱的存在了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小孩子不好""}, {""sex"": ""1"", ""content"": ""我倒是觉得小孩子挺可爱的呀""}, {""sex"": ""1"", ""content"": ""怎么不好了，你也是从小孩子长成现在这样的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不也是夜猫子""}, {""sex"": ""1"", ""content"": ""都是夜猫子就不要互相说对方了。""}, {""sex"": ""1"", ""content"": ""做好一个夜猫子应该做的事情吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夜猫不可爱吗""}, {""sex"": ""1"", ""content"": ""只要是你，都可爱。""}, {""sex"": ""1"", ""content"": ""白天顶着一双熊猫眼，那才是真的可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是女孩子嘛""}, {""sex"": ""1"", ""content"": ""正好我喜欢你这个女孩子。""}, {""sex"": ""1"", ""content"": ""后一秒就是女汉子是不是？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不给你生孩子""}, {""sex"": ""1"", ""content"": ""我现在还不想要孩子，我都还没跟你过够二人世界呢。""}, {""sex"": ""1"", ""content"": ""现在不生没关系，不过早晚会让你给我生孩子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我有喜欢的男孩子""}, {""sex"": ""1"", ""content"": ""喜欢我不用表达得这么委婉。""}, {""sex"": ""1"", ""content"": ""被你喜欢的男孩子一定很幸福吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是个好孩子""}, {""sex"": ""1"", ""content"": ""好孩纸需要一个亲亲奖励吗？""}, {""sex"": ""1"", ""content"": ""好孩子，我们出去玩吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又不知道我长什么样子""}, {""sex"": ""1"", ""content"": ""谁说的，我在梦里见过你好不好呀！""}, {""sex"": ""1"", ""content"": ""你长得这么好看，我怎么会不知道呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""难受不舒服""}, {""sex"": ""1"", ""content"": ""怎么了，哪里不舒服啊？""}, {""sex"": ""1"", ""content"": ""是心里不舒服还是身体上不舒服啊，你别吓我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""搞笑的句子""}, {""sex"": ""1"", ""content"": ""我曾经跟一个人无数次的擦肩而过，衣服都擦破了，也没擦出火花。""}, {""sex"": ""1"", ""content"": ""有种就放马过来，我保证六岁以下都打不过我""}, {""sex"": ""1"", ""content"": ""早回家的男人，讲故事给老婆听；晚回家的男人，编故事给老婆听。""}, {""sex"": ""1"", ""content"": ""瞧你这长相，不用化妆就能去演恐怖片了。""}, {""sex"": ""1"", ""content"": ""微信就是牛逼，硬是把手机搞成对讲机。""}, {""sex"": ""1"", ""content"": ""退一步海阔天空，意思是你退一步，别人海阔天空。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你若不离我定不弃""}, {""sex"": ""1"", ""content"": ""我怎么会离你而去呢！""}, {""sex"": ""1"", ""content"": ""我不离不弃！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""天天找锤""}, {""sex"": ""1"", ""content"": ""小拳拳锤我胸口。""}, {""sex"": ""1"", ""content"": ""我又不是钉子，怎么找锤了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你知道我喜欢吃什么嘛""}, {""sex"": ""1"", ""content"": ""现在不知道，不代表以后会不知道。""}, {""sex"": ""1"", ""content"": ""你是个吃货，喜欢吃的东西那么多。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上好""}, {""sex"": ""1"", ""content"": ""晚上好啊~看来今天没有加班哦""}, {""sex"": ""1"", ""content"": ""晚上好~~只是我心里还想听到你的早上好呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小朋友要有小朋友的样子""}, {""sex"": ""1"", ""content"": ""我怎么看也像是一个大朋友的样子啊。""}, {""sex"": ""1"", ""content"": ""我这小朋友哪里小了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要照片""}, {""sex"": ""1"", ""content"": ""想拿来睹物思人啊。""}, {""sex"": ""1"", ""content"": ""我老妈想看儿媳妇，不给照片怎么看啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我身体一直这样""}, {""sex"": ""1"", ""content"": ""以后我来好好照顾你的身体。""}, {""sex"": ""1"", ""content"": ""你这样让我觉得好心疼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个地方""}, {""sex"": ""1"", ""content"": ""是什么神秘的地方呀？""}, {""sex"": ""1"", ""content"": ""一个只属于我们的地方吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""您真好""}, {""sex"": ""1"", ""content"": ""你这是要给我发好人卡吗？""}, {""sex"": ""1"", ""content"": ""对仙女就是要这么好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好好说""}, {""sex"": ""1"", ""content"": ""那你好好听，我是真的喜欢你，我想跟你在一起一辈子，我很认真。""}, {""sex"": ""1"", ""content"": ""一想到你好看的脸我就没法好好说话了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干活了""}, {""sex"": ""1"", ""content"": ""好好干，我还等着你养我呢。""}, {""sex"": ""1"", ""content"": ""不干活行不行，我不想让你累着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不好就不好""}, {""sex"": ""1"", ""content"": ""就算不好也没关系，反正我依旧喜欢你。""}, {""sex"": ""1"", ""content"": ""你难道就不反抗一下嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就不好""}, {""sex"": ""1"", ""content"": ""不好就不好，都听你的""}, {""sex"": ""1"", ""content"": ""怎么不好了，你跟我说说呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上好啦""}, {""sex"": ""1"", ""content"": ""没有你的夜晚并不那么美好""}, {""sex"": ""1"", ""content"": ""不大好，因为你不在身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好吃吧""}, {""sex"": ""1"", ""content"": ""你都说好吃的，能不好吃吗。""}, {""sex"": ""1"", ""content"": ""再好吃也没有你好吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我特别好奇""}, {""sex"": ""1"", ""content"": ""好奇心会害死猫的。""}, {""sex"": ""1"", ""content"": ""那你先好奇，等会儿你就不好奇了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好我好大家好才是真的好""}, {""sex"": ""1"", ""content"": ""别人好不好我不关心，我只关心你好不好。""}, {""sex"": ""1"", ""content"": ""我的心很小的，才不会去在意别人好不好，我只在意我喜欢的人好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱好多""}, {""sex"": ""1"", ""content"": ""你介不介意多一个爱我的爱好？""}, {""sex"": ""1"", ""content"": ""那说明你是个热爱生活并且生活丰富的女孩呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢谢您嘞""}, {""sex"": ""1"", ""content"": ""不来点实质性的表达一下谢意？""}, {""sex"": ""1"", ""content"": ""这太客气了，我们都什么关系了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""祸害了多少小姐姐""}, {""sex"": ""1"", ""content"": ""只想祸害你这个小姐姐。""}, {""sex"": ""1"", ""content"": ""多少小姐姐都比不上你这一个好吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯好的呢""}, {""sex"": ""1"", ""content"": ""我老婆是全世界最可爱的女孩子了。""}, {""sex"": ""1"", ""content"": ""你可不能糊弄我哦，我可是很信任你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哥哥好呀""}, {""sex"": ""1"", ""content"": ""小仙女好！一看到小仙女就好开心呀""}, {""sex"": ""1"", ""content"": ""感动！这就是传说中的小仙女吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚刚吃好""}, {""sex"": ""1"", ""content"": ""吃什么好吃的，不给我留点嘛。""}, {""sex"": ""1"", ""content"": ""我也刚吃好，一吃完饭就想你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你早上好""}, {""sex"": ""1"", ""content"": ""早呀早呀，一大早就心情美美的。""}, {""sex"": ""1"", ""content"": ""要是每天都能听到你在我耳边说这句话就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好滴呀""}, {""sex"": ""1"", ""content"": ""那做我女朋友好不好呀？""}, {""sex"": ""1"", ""content"": ""麻烦你不要这么可爱，我会承受不住的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""奖励你做个好梦""}, {""sex"": ""1"", ""content"": ""那我就做个有你的好梦吧。""}, {""sex"": ""1"", ""content"": ""好梦不都是有你在吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那就好好说话""}, {""sex"": ""1"", ""content"": ""我一直都在好好说了。""}, {""sex"": ""1"", ""content"": ""面对喜欢的人怎么可能会好好说嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就知道你最好了""}, {""sex"": ""1"", ""content"": ""必须是我是最好的呀！""}, {""sex"": ""1"", ""content"": ""有你在才是最好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好滴好滴""}, {""sex"": ""1"", ""content"": ""反正我只想对你好一点。""}, {""sex"": ""1"", ""content"": ""反正你说了算。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""瞅你咋滴""}, {""sex"": ""1"", ""content"": ""那你瞅仔细点，记住我。""}, {""sex"": ""1"", ""content"": ""看自己老公我能咋滴啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以勒""}, {""sex"": ""1"", ""content"": ""为了我们的默契，干杯。""}, {""sex"": ""1"", ""content"": ""看来今晚又有新的故事发生了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""挺好的啊""}, {""sex"": ""1"", ""content"": ""我可以把我最宝贝的自己送给你""}, {""sex"": ""1"", ""content"": ""你很会欣赏嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说啥大实话""}, {""sex"": ""1"", ""content"": ""我这嘴啊，一般只说大实话的！""}, {""sex"": ""1"", ""content"": ""看到你这么美，我说不来谎话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""实话嘛""}, {""sex"": ""1"", ""content"": ""我什么时候对小仙女说过假话吗？""}, {""sex"": ""1"", ""content"": ""句句属实，包括我喜欢你也是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都不知道说啥""}, {""sex"": ""1"", ""content"": ""你心里想啥就额可以说点啥啊。""}, {""sex"": ""1"", ""content"": ""我正在期待你对我说点什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小猪说谁呢""}, {""sex"": ""1"", ""content"": ""我在说小猪呢。""}, {""sex"": ""1"", ""content"": ""我没见过这么漂亮的小猪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说""}, {""sex"": ""1"", ""content"": ""字字珠玑，句句戳心，饱含热泪有木有""}, {""sex"": ""1"", ""content"": ""不喜欢打嘴炮，说的再多不如面对面的交流实在""}, {""sex"": ""1"", ""content"": ""我怕你以为我在说梦话""}, {""sex"": ""1"", ""content"": ""小仙女是不是不能随便和凡人讲话的？""}, {""sex"": ""1"", ""content"": ""见到漂亮的人，我当然说漂亮话啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别小看我""}, {""sex"": ""1"", ""content"": ""你可是仙女，我怎么敢小看你。""}, {""sex"": ""1"", ""content"": ""我一直都知道你超厉害的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不许瞎说话""}, {""sex"": ""1"", ""content"": ""不会的，我都是瞎说大实话。""}, {""sex"": ""1"", ""content"": ""我没有闭着眼说话啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的性格""}, {""sex"": ""1"", ""content"": ""你的性格很好呀，我特别喜欢""}, {""sex"": ""1"", ""content"": ""像你这个性格的女孩子一定有很多朋友吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我信了你个鬼""}, {""sex"": ""1"", ""content"": ""骗你是小狗，我可不想当小狗。""}, {""sex"": ""1"", ""content"": ""小心我变成捣蛋鬼夜里吵你哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""Hi，交个朋友不？""}, {""sex"": ""1"", ""content"": ""你这么说我就不开心了，我们不是早就是朋友了吗""}, {""sex"": ""1"", ""content"": ""来来来，来交个男女朋友吧！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是个钢铁直女""}, {""sex"": ""1"", ""content"": ""我有个火热的心，随时把你给融化。""}, {""sex"": ""1"", ""content"": ""我喜欢直女不行吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在么小哥哥""}, {""sex"": ""1"", ""content"": ""小哥哥在你心里呢。""}, {""sex"": ""1"", ""content"": ""在啊，这是哪里来的小可爱呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""上班了小哥哥""}, {""sex"": ""1"", ""content"": ""没有小仙女陪着上班好无聊""}, {""sex"": ""1"", ""content"": ""小哥哥可以跟小姐姐一起上班吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好几个小哥哥呢""}, {""sex"": ""1"", ""content"": ""看来我只能找几个小姐姐去消解一下我的忧伤了。""}, {""sex"": ""1"", ""content"": ""哇的一声我就哭出来了，我的小姐姐竟然背着我见其他好多小哥哥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""逛街中""}, {""sex"": ""1"", ""content"": ""下次逛街可以叫我，我能帮你提东西。""}, {""sex"": ""1"", ""content"": ""那我预约一下你下次的逛街行程。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说去哪""}, {""sex"": ""1"", ""content"": ""还能去哪啊，当然是去你的心里啦。""}, {""sex"": ""1"", ""content"": ""我们想去哪就去哪！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""记东西""}, {""sex"": ""1"", ""content"": ""没想到你这个小脑瓜记东西还挺厉害嘛。""}, {""sex"": ""1"", ""content"": ""我的脑袋里记的全是与你有关的事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""情人节一""}, {""sex"": ""1"", ""content"": ""祝我的情人你情人节快乐""}, {""sex"": ""1"", ""content"": ""你不就是我的情人节吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天天气挺好的""}, {""sex"": ""1"", ""content"": ""好天气让我更加想你了。""}, {""sex"": ""1"", ""content"": ""生活明朗万物可爱，你最可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""问你个问题哈""}, {""sex"": ""1"", ""content"": ""难产保大人，我妈会游泳，房产证上写你的名字。""}, {""sex"": ""1"", ""content"": ""嗯嗯，小仙女想问什么呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你最讨厌什么""}, {""sex"": ""1"", ""content"": ""最讨厌得不到你的自己！""}, {""sex"": ""1"", ""content"": ""没有最讨厌的只有更讨厌的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我重要么""}, {""sex"": ""1"", ""content"": ""我老婆肯定是重要的人啦。""}, {""sex"": ""1"", ""content"": ""不重要的话，我还能和你说这么多？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你给我打电话了""}, {""sex"": ""1"", ""content"": ""对呀，给你打电话还不接，太伤心了。""}, {""sex"": ""1"", ""content"": ""嗯，想听听你的声音。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥技术""}, {""sex"": ""1"", ""content"": ""给你一个美好的未来的技术""}, {""sex"": ""1"", ""content"": ""什么技术都好，保证不会让你失望""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要钱没有要命一条""}, {""sex"": ""1"", ""content"": ""那你把命给我吧，反正我不缺钱。""}, {""sex"": ""1"", ""content"": ""得到你的命就等于得到你的人，就等于得到你的心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""命苦的人""}, {""sex"": ""1"", ""content"": ""命运总是会和你开个玩笑的""}, {""sex"": ""1"", ""content"": ""那我们只好逆天改命了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""社会语录，！""}, {""sex"": ""1"", ""content"": ""我不撞南墙怎么知道是我厉害还是南墙厉害。""}, {""sex"": ""1"", ""content"": ""要好好做一个小人渣，明天比今天更王八蛋。""}, {""sex"": ""1"", ""content"": ""一生不喜与人抢，该得到的也不会让。""}, {""sex"": ""1"", ""content"": ""当现实给你一巴掌的时候你应该和他击个掌。""}, {""sex"": ""1"", ""content"": ""天堂人满，地狱打烊，所以我留在人间，当祸害啊。""}, {""sex"": ""1"", ""content"": ""我擅长气人，话题终结，拉远距离，斩断人际关系，手机常年静音，还有劝分不劝和。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""社交软件开场白""}, {""sex"": ""1"", ""content"": ""都加好友了，还不过来打个招呼的吗。""}, {""sex"": ""1"", ""content"": ""下一任女朋友，你在干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会的吧""}, {""sex"": ""1"", ""content"": ""怎么不会？一切皆有可能。""}, {""sex"": ""1"", ""content"": ""我永远都不会让你一个人的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么会聊啊""}, {""sex"": ""1"", ""content"": ""不仅会聊还会撩哦。""}, {""sex"": ""1"", ""content"": ""不会聊的话岂不是会让小姐姐觉得尴尬。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等会儿睡觉""}, {""sex"": ""1"", ""content"": ""等会儿睡我好么""}, {""sex"": ""1"", ""content"": ""早点休息啊，记得睡前别想我想得睡不着了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要太期待""}, {""sex"": ""1"", ""content"": ""可是我现在已经充满了无限的期待了""}, {""sex"": ""1"", ""content"": ""怎么可能不期待，我还要搓搓手期待呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""期待着""}, {""sex"": ""1"", ""content"": ""我也期待着与你的未来。""}, {""sex"": ""1"", ""content"": ""期待那么美好，我们一起让它变成现实。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请我唱歌""}, {""sex"": ""1"", ""content"": ""那我的耳朵是不是要受罪了？""}, {""sex"": ""1"", ""content"": ""那我请你唱歌，你请我看电影，怎么样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己慢慢体会""}, {""sex"": ""1"", ""content"": ""我怕我体会出点不一样的东西。""}, {""sex"": ""1"", ""content"": ""那我只好自己 慢慢体会了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝了一丢丢酒，状态不对""}, {""sex"": ""1"", ""content"": ""你这状态是撒酒疯吗？""}, {""sex"": ""1"", ""content"": ""你确定是一丢丢不是五六瓶？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好会聊天""}, {""sex"": ""1"", ""content"": ""不会聊天怎么逗你开心呢？""}, {""sex"": ""1"", ""content"": ""你这样夸我我会害羞的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也不怎么会聊天""}, {""sex"": ""1"", ""content"": ""不会聊天的人，其实都是会给对方惊喜的人。""}, {""sex"": ""1"", ""content"": ""没事，我们只说真心话就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""找你聊天而已""}, {""sex"": ""1"", ""content"": ""除了聊天不准备做点别的吗？""}, {""sex"": ""1"", ""content"": ""我怕等会儿我会被你聊出真心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心不动则不痛""}, {""sex"": ""1"", ""content"": ""心一动则乱痛。""}, {""sex"": ""1"", ""content"": ""心若痛,已心动。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么会撩？""}, {""sex"": ""1"", ""content"": ""那你有没有被我撩到啊？""}, {""sex"": ""1"", ""content"": ""可是到现在还没有女朋友啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""消失一段时间""}, {""sex"": ""1"", ""content"": ""找不到你我会担心的。""}, {""sex"": ""1"", ""content"": ""有什么事都可以跟我说，别突然就消失好吗？""}], ""lock"": 1}"
